,date_FCR_F,new_coil,pp_FCR_F,FCR_F_1,FCR_F_2,FCR_F_3,FCR_F_4,FCR_F_5,FCR_F_6,FCR_F_7,FCR_F_8,FCR_F_9,FCR_F_10,FCR_F_11,FCR_F_12,FCR_F_13,FCR_F_14,FCR_F_15,FCR_F_16,FCR_F_17,FCR_F_18,FCR_F_19,FCR_F_20,date_FCR_B,pp_FCR_B,FCR_B_1,FCR_B_2,FCR_B_3,FCR_B_4,FCR_B_5,FCR_B_6,FCR_B_7,FCR_B_8,FCR_B_9,FCR_B_10,FCR_B_11,FCR_B_12,FCR_B_13,FCR_B_14,FCR_B_15,FCR_B_16,FCR_B_17,FCR_B_18,FCR_B_19,FCR_B_20,date_TA_F,pp_TA_F,TA_F_1,TA_F_2,TA_F_3,TA_F_4,TA_F_5,TA_F_6,TA_F_7,TA_F_8,TA_F_9,TA_F_10,TA_F_11,TA_F_12,TA_F_13,TA_F_14,TA_F_15,TA_F_16,TA_F_17,TA_F_18,TA_F_19,TA_F_20,date_TA_B,pp_TA_B,TA_B_1,TA_B_2,TA_B_3,TA_B_4,TA_B_5,TA_B_6,TA_B_7,TA_B_8,TA_B_9,TA_B_10,TA_B_11,TA_B_12,TA_B_13,TA_B_14,TA_B_15,TA_B_16,TA_B_17,TA_B_18,TA_B_19,TA_B_20,ì‹Æ”NŒŽ“úŽž•ª,”Mˆ—‘¬“x,˜F‰·1,˜F‰·2,˜F‰·3,˜F‰·4,˜F‰·5,˜F‰·6,˜F‰·7,˜F‰·8,˜F‰·9,˜F‰·10,˜F‰·11,˜F‰·12,˜F‰·13,˜F‰·14,˜F‰·15,˜F‰·16
10,2023/5/9 0:00,49185-2,9F,23.58452718,10.21494951,4.738757169,3.598967172,2.680300818,2.912342394,1.437082633,1.806041017,0.802335655,0.672598272,0,0.310925084,0.621011635,0.282689156,0.138201353,0.177302035,1.991733009,3.86560156,10.00607515,14.16233126,2023/5/9 0:00,9B,16.21341363,7.868097886,2.098510352,1.085153858,0.792267876,0.857818281,0.672451925,0.966650136,0,0.036910927,0.167269202,0.930278053,1.656114432,0.757865652,0.632896309,1.965115503,4.555601615,6.870452015,13.51444867,22.5813537,2023/5/12 0:00,4F,12.46173394,6.504972221,1.776888206,0.870938287,0.202080391,0,0.3375425,1.089663432,1.429244429,1.455374637,1.077488303,1.031815604,0.507622135,0.252263632,0.281784913,0.95889338,3.204118093,4.285036301,8.510681404,14.99516356,2023/5/12 0:00,4B,18.68425814,5.669853629,0.61607566,0.496340142,0.654402983,1.403217577,2.390102503,3.20701654,2.347535396,2.497082456,2.204955862,1.634382408,0.814686887,0.08620532,0,0.662434661,1.768518944,3.284156292,8.089218812,13.79166055,2.02305E+11,52.5,656,653,657,654,652,654,644,654,507,401,291,302,217,198,85,19
11,2023/5/23 0:00,49187-1,9F,15.93947336,6.219848966,3.047958154,1.911322694,1.576145498,1.800732661,1.380506812,1.219947812,0.32910689,0.147769153,0,0.099157961,0.41129919,0.840318246,1.58746539,1.678661753,3.163335148,4.29341198,6.77536008,11.66433652,2023/5/23 0:00,9B,9.121489827,2.784782821,1.680714537,1.544126325,0.538554604,0.424996985,0.440636425,0.625889743,0,0.621377878,0.615106462,0.306333032,1.055982235,1.28372291,1.425306992,3.015265885,5.042179086,7.766650357,11.19375567,18.45553081,2023/5/23 0:00,4F,17.66821551,6.801647543,2.187526115,1.60271053,0.735419761,0.432414056,0.335626294,0.715655033,0.175969323,0.838877038,0.037898211,0,0.093591682,0.088558125,0.870256185,1.991390791,4.122164863,6.894609448,12.26887951,22.20753655,2023/5/24 0:00,4B,10.36934005,2.580100249,0.084454271,0.20856019,0.014269334,0.204096795,0.84090919,2.39147032,1.894411251,2.558414974,1.563861833,0.936221125,0.305841702,0,0.1982451,0.446466285,1.927125283,2.982752849,5.696042223,12.1613472,2.02305E+11,52.5,657,654,656,654,652,654,647,654,500,401,292,302,203,200,83,19
12,2023/5/23 0:00,49189-1,9F,14.5080882,4.759800036,0.051110354,0.08054827,0,0.155125042,0.642881111,1.618254482,0.868981581,0.492695236,0.158572526,0.076976871,1.100850757,0.752365746,1.996622271,3.671899248,6.351790001,8.805389301,12.20740738,17.0739739,2023/5/24 0:00,9B,17.13832971,6.494361371,1.75120514,1.054008085,0.198708289,0.538302364,0.387515616,0.596814581,0.16095621,0.513476889,0.451585775,0,0.224956182,1.092770835,1.607775338,3.794857772,6.241884237,9.677152291,13.91284672,19.8542789,2023/5/24 0:00,4F,14.15031392,6.798492898,1.836940586,0.223989538,0,0.153207939,0.42478209,1.071549436,1.755162212,2.022658161,1.034336918,0.794794694,0.206107692,0.048684533,0.349441863,1.648310682,2.799496215,5.489594626,9.754148743,15.29587535,2023/5/24 0:00,4B,12.4058394,4.087324891,0.368962208,0.018835575,0.433650151,1.679474144,3.022835434,3.899044524,3.748470258,3.663468147,1.841717514,0.215917077,0.198130604,0.064190335,0,0.299347369,1.294738724,3.516842782,7.553877894,13.81981952,2.02305E+11,52.5,656,653,657,654,652,654,645,654,503,401,292,302,210,201,86,20
13,2023/6/8 0:00,49361-1,9F,14.90123442,4.843182309,0,0.423417234,0.094825266,0.239390218,0.872030925,0.679521985,0.786339129,1.645173469,1.384070106,0.190583397,0.138810417,0.604369605,0.210401048,0.500435076,2.642216651,5.351534641,10.74742146,15.1543294,2023/6/8 0:00,9B,21.08772104,8.790474633,2.980950296,2.790060604,1.603801453,1.04571724,0.5624287,1.130895046,0.672358389,1.784790753,0.40199873,0,0.138147551,1.343665756,0.876508301,1.528489859,4.210439072,7.396679208,13.35657003,19.32300741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02306E+11,52.5,658,655,656,655,653,656,644,656,508,404,294,302,207,199,90,24
14,2023/6/8 0:00,49363-1,9F,14.67270496,6.073879501,0.500546785,0.563398241,0.197037158,0.549650769,0.845618856,0.974155109,0.207224323,0.303321843,0.261180277,0,0.350488344,0.943911516,0.86534379,1.418105913,3.538113896,5.582506834,9.299040938,14.46802688,2023/6/8 0:00,9B,15.85883315,8.639313488,3.148775794,2.084397029,1.311672033,1.219397968,1.184364608,0.665202249,0.038253034,0.590225241,0,0.243343313,0.238016157,0.756323494,0.956781738,2.321496708,4.663467136,6.404783915,8.426844343,14.71972726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02306E+11,52.5,659,654,657,654,653,655,648,657,514,404,298,302,206,201,87,25
15,2023/6/8 0:00,49364-1,9F,14.07669416,5.851111983,0.996761323,0.381453161,0.598534856,0.404590698,0.73356373,0.780978694,0.449265265,1.443629295,0.778415235,0,0.196250933,0.704337317,0.560919038,2.014056325,3.455982655,5.34907921,9.439317697,13.06014909,2023/6/8 0:00,9B,18.26605608,10.08184992,3.234723733,1.796357036,0.966666631,0.65007657,0.1446072,0,0.052815066,0.971584954,0.185571947,0.146435684,1.032034262,2.493242623,1.598675455,3.014476308,5.984443289,9.609608013,14.67419685,21.3693332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02306E+11,52.5,658,654,657,654,655,655,648,657,512,404,296,302,205,202,86,27
16,2023/6/8 0:00,49365-1,9F,15.80771296,7.302542369,2.091487353,1.847292572,0.679895167,0.502680618,0.122797469,0.46842663,0,1.322129764,0.669980296,0.534846412,0.383291823,0.368441001,0.583196749,1.850518102,3.761004955,5.588691859,7.597265991,8.437118368,2023/6/8 0:00,9B,16.65839887,6.650597797,2.593410383,1.928112673,0.459892438,0.194679747,0,0.814688523,0.936715904,2.309824137,0.540441987,0.177651392,1.004860988,1.952599219,1.977983717,3.899481948,6.617805663,8.406064795,11.99152219,17.20390184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02306E+11,52.5,657,655,657,654,654,655,647,656,515,404,297,302,207,202,86,26
17,2023/6/9 0:00,49361-2,9F,13.42559132,4.415743851,0.602751985,0.458149047,0,0.668307073,1.201448888,1.613214531,0.550017237,1.139911924,0.992269591,0.010184591,0.65702817,0.729407765,0.958357577,1.144865055,3.183953354,5.581032662,9.808197368,14.79717474,2023/6/9 0:00,9B,13.72825703,5.043119183,0.524188113,1.273734781,0.123868419,0.077018129,0.028386823,1.191161864,0.552848224,1.771157167,1.294723469,0,0.276893593,1.17835077,1.489515064,3.055105416,5.129883752,8.005893651,11.3284618,17.05011213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02306E+11,52.5,659,655,657,654,653,655,649,656,512,403,295,302,204,201,88,25
18,2023/6/9 0:00,49363-2,9F,16.21471425,8.735406151,1.849818723,0.648180219,0.045699704,0.130923998,0.131150128,0.69999034,0.101230766,1.559164306,0.55041971,0.003242913,0,0.8342467,1.32918819,3.112411758,5.60748695,7.811984176,10.69583983,15.92618851,2023/6/9 0:00,9B,21.3393753,9.982939889,2.512654629,1.514551359,0.465714907,0.527176844,0.202719243,0.689300211,0,0.848282742,1.163841237,0.439525999,0.918341417,2.825252798,2.605889036,4.458012003,6.714398877,9.435476352,13.36476035,21.26229808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02306E+11,52.5,658,654,657,654,654,655,648,656,513,404,297,302,204,203,89,26
19,2023/6/9 0:00,49364-21,9F,17.9151769,6.782853772,1.407463347,1.157503391,0.206933424,0.245770509,0.234650337,0.518451234,0.566461733,1.362128746,0.340746838,0,0.436806074,1.589651318,2.415615014,3.596649133,6.339507637,9.982238265,14.77042404,17.08932516,2023/6/9 0:00,9B,22.46178252,9.040173511,3.251496817,2.261354369,1.259637869,0.508685911,0,0.337035494,0.054206449,1.998804543,0.166994126,0.134331989,0.629584928,1.667763467,2.744732424,3.61868335,5.920801772,9.213405269,14.37395742,18.57300951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02306E+11,52.5,659,655,657,654,653,655,649,657,514,404,297,302,207,203,88,27
