ã¶íËédólî‘çÜ_é˘óvâ∆ÉRÅ[Éh,ã¶íËédólî‘çÜ_ïiéÌÉRÅ[Éh,ã¶íËédólî‘çÜ_ç|éÌÉRÅ[Éh,ã¶íËédólî‘çÜ_í≤éøÉRÅ[Éh,ã¶íËédólî‘çÜ_édè„ÉRÅ[Éh,ã¶íËédólî‘çÜ_åˆèÃî¬å˙,ã¶íËédólî‘çÜ_åˆèÃî¬ïù,ã¶íËédólî‘çÜ_òAî‘,ã¶íËédólî‘çÜ_â¸í˘î‘çÜ,ÉRÉCÉãî‘çÜ,ÉRÉCÉãï™äÑî‘çÜ,çÏã∆îNåéì˙éûï™,çHíˆÉRÅ[Éh_çÏã∆ÉRÅ[Éh,çHíˆÉRÅ[Éh_ÉâÉCÉìÉRÅ[Éh1,çHíˆÉRÅ[Éh_ÉâÉCÉìÉRÅ[Éh2,çHíˆÉRÅ[Éh_èàóùéÌï ,ëOñ èoÇµãÊï™,çÏã∆å„ÉRÉCÉãí∑Ç≥,îMèàóù_ë¨ìx,îMèàóù_í£óÕì¸ë§,îMèàóù_í£óÕíÜâõ,îMèàóù_í£óÕèoë§,îMèàóù_H2ó¨ó ,îMèàóù_òFâ∑1,îMèàóù_òFâ∑2,îMèàóù_òFâ∑3,îMèàóù_òFâ∑4,îMèàóù_òFâ∑5,îMèàóù_òFâ∑6,îMèàóù_òFâ∑7,îMèàóù_òFâ∑8,îMèàóù_òFâ∑9,îMèàóù_òFâ∑10,îMèàóù_òFâ∑11,îMèàóù_òFâ∑12,îMèàóù_òFâ∑13,îMèàóù_òFâ∑14,îMèàóù_òFâ∑15,îMèàóù_òFâ∑16
D250,S,600,34,MW,0300,4600,03,01,52520,2,202403102211,2,0,6,4,0,5536,52.5,9.96,2.07,37.4,59,657,655,657,657,655,660,650,655,506,420,292,302,213,199,87,12
D250,S,600,34,MW,0300,4600,03,01,52521,1,202403160206,2,0,6,4,0,4493,52.5,9.96,2.06,38.41,59,657,655,657,653,656,655,652,656,507,418,292,301,214,201,88,14
D250,S,600,34,MW,0300,4600,03,01,52521,2,202403160509,2,0,6,4,0,5429,52.5,9.94,2.05,38.15,59,657,655,657,654,655,655,649,656,511,416,291,301,205,190,86,13
D250,S,600,34,MW,0300,4600,03,01,52522,1,202403160931,2,0,6,4,0,5518,52.5,9.96,2.04,36.58,60,658,655,657,655,654,655,652,656,511,406,292,301,207,189,88,12
D250,S,600,34,MW,0300,4600,03,01,52524,1,202403161228,2,0,6,4,0,5436,52.5,9.93,2.09,38.31,60,656,655,657,655,657,655,651,656,513,403,292,301,205,189,90,16
D250,S,600,34,MW,0300,4600,03,01,52522,2,202403161527,2,0,6,4,0,5551,52.5,9.95,2.03,38.01,60,658,655,657,655,656,655,650,656,512,403,293,301,206,190,91,18
D250,S,600,34,MW,0300,4600,03,01,52523,1,202403161817,2,0,6,4,0,5291,52.5,9.94,2.05,38.15,60,658,655,656,655,655,656,650,656,513,403,294,301,206,191,93,17
D250,S,600,34,MW,0300,4600,03,01,52524,2,202403162112,2,0,6,4,0,5486,52.5,9.95,2.05,38.54,60,657,655,657,655,655,655,650,656,513,404,294,301,207,191,92,17
D250,S,600,34,MW,0300,4600,03,01,52523,2,202403170006,2,0,6,4,0,5373,52.5,9.93,2.03,39.3,60,657,655,657,655,656,655,652,656,513,404,294,301,205,190,90,15
D250,S,600,34,MW,0300,4600,03,01,52525,1,202405240816,2,0,6,4,0,4682,52.5,9.99,2.07,39.07,61,656,655,657,654,654,655,649,655,522,449,307,301,214,198,98,22
D250,S,600,34,MW,0300,4600,03,01,52525,2,202405241104,2,0,6,4,0,5471,52.5,9.94,1.99,37.74,60,656,655,656,654,654,655,651,656,516,423,301,301,199,196,101,24
D250,S,600,34,MW,0300,4600,03,01,52526,1,202405241405,2,0,6,4,0,5038,52.5,9.95,2.05,38.47,59,656,655,657,654,654,655,652,656,514,408,297,301,210,197,101,25
D250,S,600,34,MW,0300,4600,03,01,52526,2,202405241719,2,0,6,4,0,5233,52.5,9.96,2.03,38.1,59,657,655,657,654,654,655,649,656,512,403,295,301,212,192,101,25
D250,S,600,34,MW,0300,4600,03,01,53164,2,202406151328,2,0,6,4,0,5635,52.5,9.98,2.02,39.16,59,656,655,656,654,654,655,645,656,512,404,300,301,217,197,97,26
D250,S,600,34,MW,0300,4600,03,01,53161,1,202406151726,2,0,6,4,0,5144,52.5,10,2.03,38.59,59,659,655,657,654,655,655,650,656,513,403,297,301,201,193,98,27
D250,S,600,34,MW,0300,4600,03,01,53162,1,202406152012,2,0,6,4,0,5044,52.5,9.96,2.03,37.9,59,656,655,656,654,654,655,651,656,514,403,299,301,205,187,99,27
D250,S,600,34,MW,0300,4600,03,01,53164,1,202406152302,2,0,6,4,0,4373,52.5,9.95,2.02,39.33,59,658,655,656,654,653,655,651,656,514,403,298,301,204,186,97,27
D250,S,600,34,MW,0300,4600,03,01,53163,1,202406160157,2,0,6,4,0,5268,52.5,9.97,2.02,37.99,60,658,655,656,655,654,656,651,656,513,403,298,301,205,188,98,26
D250,S,600,34,MW,0300,4600,03,01,53161,2,202406160450,2,0,6,4,0,5183,52.5,10,2.1,39.62,60,656,655,656,654,654,655,650,656,513,403,299,301,212,189,97,26
D250,S,600,34,MW,0300,4600,03,01,53162,2,202406160747,2,0,6,4,0,5138,52.5,9.95,2.02,37.95,60,655,655,657,654,653,655,651,656,514,403,298,301,211,188,94,25
D250,S,600,34,MW,0300,4600,03,01,53163,2,202406161034,2,0,6,4,0,5169,52.5,9.97,2.04,37.53,60,660,655,657,654,654,655,649,656,514,403,299,301,205,186,97,26
D250,S,600,34,MW,0300,4600,03,01,53165,1,202406210148,2,0,6,4,0,4068,52.5,9.96,2.05,37.75,59,657,655,656,654,655,655,652,656,508,412,291,301,212,189,95,24
D250,S,600,34,MW,0300,4600,03,01,53165,2,202406210427,2,0,6,4,0,5386,52.5,9.95,2.06,39.26,59,657,655,656,654,655,655,649,656,512,415,297,301,212,190,97,25
D250,S,600,34,MW,0300,4600,03,01,53166,1,202406220021,2,0,6,4,0,4469,52.5,9.96,2.05,38.78,60,656,654,657,654,654,655,650,656,521,442,305,301,204,190,99,26
D250,S,600,34,MW,0300,4600,03,01,53166,2,202406220323,2,0,6,4,0,5442,52.5,9.93,2.05,38.84,60,658,655,656,654,654,655,651,656,515,419,301,301,212,189,94,26
D250,S,600,34,MW,0300,4600,03,01,53167,1,202406220603,2,0,6,4,0,4376,52.5,9.98,2.03,39.33,60,657,655,656,654,655,655,651,656,514,407,300,301,208,188,93,26
D250,S,600,34,MW,0300,4600,03,01,53167,2,202406220938,2,0,6,4,0,5485,52.5,9.93,2.05,38.11,60,658,655,656,654,654,655,651,656,513,403,296,301,203,187,94,26
D250,S,600,34,MW,0300,4600,03,01,53298,11,202408051931,2,0,6,4,0,3151,52.5,9.96,1.97,37.29,60,656,654,656,654,655,655,649,656,522,442,308,301,225,201,104,32
D250,S,600,34,MW,0300,4600,03,01,53298,12,202408052144,2,0,6,4,0,3123,52.5,9.97,2.02,37.78,60,657,655,657,654,654,655,649,656,518,425,306,301,208,195,109,31
D250,S,600,34,MW,0300,4600,03,01,53298,2,202408060045,2,0,6,4,0,4255,52.5,9.96,2.07,39.11,60,657,655,657,654,654,655,650,656,516,414,303,301,210,194,109,32
D250,S,600,34,MW,0300,4600,03,01,53299,1,202408082344,2,0,6,4,0,3418,52.5,9.97,2.02,38.36,60,657,655,656,654,654,656,647,656,500,403,293,301,211,194,103,30
D250,S,600,34,MW,0300,4600,03,01,53300,1,202408090246,2,0,6,4,0,5507,52.5,9.96,2.01,38.62,61,657,655,656,654,653,655,651,656,510,403,300,301,210,192,107,30
D250,S,600,34,MW,0300,4600,03,01,53301,1,202408090521,2,0,6,4,0,3867,52.5,9.97,2.05,37.8,61,655,655,656,654,656,655,650,656,513,403,302,301,206,195,106,29
D250,S,600,34,MW,0300,4600,03,01,53300,2,202408090839,2,0,6,4,0,5428,52.5,9.93,2.04,38.35,61,656,655,656,654,654,655,650,656,515,403,301,301,210,191,108,29
D250,S,600,34,MW,0300,4600,03,01,52410,21,202408091116,2,0,6,4,0,3429,52.5,9.98,1.99,39.22,60,657,655,656,654,654,655,649,656,513,403,302,301,210,194,108,30
D250,S,600,34,MW,0300,4600,03,01,53299,22,202408091653,2,0,6,4,0,3284,52.5,9.99,2,37.44,60,658,655,656,654,654,655,650,656,513,404,299,301,210,191,112,31
D250,S,600,34,MW,0300,4600,03,01,53301,21,202408091907,2,0,6,4,0,2150,52.5,9.96,2.01,38.21,60,657,655,657,654,654,655,651,656,512,403,300,301,207,192,111,31
D250,S,600,34,MW,0300,4600,03,01,53301,22,202408092133,2,0,6,4,0,3753,52.5,10,2.02,37.86,60,656,655,656,654,654,655,648,656,512,403,300,301,211,190,112,31
D250,S,600,34,MW,0300,4600,03,01,53301,23,202408092312,2,0,6,4,0,1194,52.5,9.95,2.02,39.11,60,657,655,656,654,653,655,647,656,512,403,301,301,206,193,109,30
D250,S,600,34,MW,0300,4600,03,01,53302,1,202408201952,2,0,6,4,0,3736,52.5,10,2.01,37.59,59,655,655,656,655,655,656,646,656,491,404,292,301,213,196,103,31
D250,S,600,34,MW,0300,4600,03,01,53302,21,202408202214,2,0,6,4,0,3870,52.5,9.99,2.01,37.69,59,657,655,656,654,654,655,651,656,513,403,304,301,215,197,102,30
D250,S,600,34,MW,0300,4600,03,01,53302,22,202408210055,2,0,6,4,0,3855,52.5,10,2.01,37.22,59,656,655,657,654,655,655,650,656,516,403,305,301,206,194,106,31
D250,S,600,34,MW,0300,4600,03,01,53303,1,202408210322,2,0,6,4,0,3767,52.5,9.97,2.02,38.88,59,657,655,657,654,654,655,651,656,518,403,306,301,203,196,106,31
D250,S,600,34,MW,0300,4600,03,01,53303,21,202408210557,2,0,6,4,0,3695,52.5,10,2.03,38.98,59,657,655,656,654,655,655,650,656,518,403,305,301,211,195,105,31
D250,S,600,34,MW,0300,4600,03,01,53303,22,202408210912,2,0,6,4,0,3819,52.5,9.96,2.02,38.33,60,658,655,656,654,654,655,649,656,516,403,302,301,208,194,105,31
D250,S,600,34,MW,0300,4600,03,01,53474,1,202409021111,2,0,6,4,0,3981,40,9.91,2.04,40.46,59,656,655,656,654,654,655,649,656,511,403,297,301,204,204,95,29
D250,S,600,34,MW,0300,4600,03,01,53474,2,202409022058,2,0,6,4,0,4325,40,9.98,1.99,38.91,59,657,655,656,654,653,655,649,656,514,403,300,301,212,203,103,30
D250,S,600,34,MW,0300,4600,03,01,53475,1,202409030030,2,0,6,4,0,5012,40,9.9,2.02,36.48,59,657,655,656,654,653,655,650,656,516,403,304,301,201,202,107,29
D250,S,600,34,MW,0300,4600,03,01,53475,2,202409030358,2,0,6,4,0,5160,40,9.93,1.97,37.76,60,657,655,656,654,654,655,651,656,517,403,305,301,203,199,105,29
D250,S,600,34,MW,0300,4600,03,01,53555,1,202409142145,2,0,6,4,0,5495,40,9.99,1.97,39.21,59,657,654,656,654,656,655,649,656,512,403,298,301,208,194,98,29
D250,S,600,34,MW,0300,4600,03,01,53555,2,202409150220,2,0,6,4,0,5613,40,9.94,1.99,37.35,59,657,655,656,654,654,655,650,656,513,404,300,301,215,201,98,29
D250,S,600,34,MW,0300,4600,03,01,53556,1,202409150613,2,0,6,4,0,5158,40,9.96,2.05,38.34,59,657,655,656,654,654,655,650,656,515,403,303,301,213,197,100,29
D250,S,600,34,MW,0300,4600,03,01,53557,21,202409171801,2,0,6,4,0,1401,40,9.92,2,36.79,60,657,655,656,654,654,655,652,656,510,404,297,301,221,206,91,30
D250,S,600,34,MW,0300,4600,03,01,53557,22,202409172155,2,0,6,4,0,3289,40,9.92,2.05,39.74,60,657,655,656,654,654,655,650,656,512,410,302,301,205,196,99,30
D250,S,600,34,MW,0300,4600,03,01,53556,2,202409180148,2,0,6,4,0,5388,40,9.95,1.98,37.3,60,657,655,656,654,654,655,650,656,514,412,304,301,206,201,99,30
D250,S,600,34,MW,0300,4600,03,01,53554,2,202409180529,2,0,6,4,0,5299,40,9.97,1.9,32.2,60,658,655,657,654,656,655,650,656,518,416,309,301,206,201,96,29
D250,S,600,34,MW,0300,4600,03,01,53554,1,202409181923,2,0,6,4,0,5109,40,9.92,2.01,38.97,60,658,655,657,654,655,655,646,656,512,403,300,301,211,200,107,30
D250,S,600,34,MW,0300,4600,03,01,53582,1,202410031525,2,0,6,4,0,3586,40,9.98,2,35.78,60,657,655,657,654,653,655,650,656,514,403,298,301,215,197,89,25
D250,S,600,34,MW,0300,4600,03,01,53584,1,202410032137,2,0,6,4,0,3427,40,9.9,2.02,39.58,60,657,654,656,654,654,655,650,656,511,404,294,301,211,198,88,25
D250,S,600,34,MW,0300,4600,03,01,53585,1,202410040925,2,0,6,4,0,5261,40,9.96,2,38.32,59,657,654,656,654,656,655,650,656,512,403,295,301,213,197,87,23
D250,S,600,34,MW,0300,4600,03,01,53582,21,202410041312,2,0,6,4,0,3630,40,10,2.01,37.72,59,657,655,656,654,653,655,649,656,513,403,297,301,210,197,89,23
D250,S,600,34,MW,0300,4600,03,01,53583,1,202410042107,2,0,6,4,0,3181,40,9.97,2,38.17,59,657,654,657,654,656,654,651,656,511,403,294,301,212,197,91,24
D250,S,600,34,MW,0300,4600,03,01,53585,2,202410051814,2,0,6,4,0,5413,40,9.97,2.01,36.9,59,657,655,657,654,655,655,650,656,511,403,296,301,213,199,88,26
D250,S,600,34,MW,0300,4600,03,01,53582,22,202410052145,2,0,6,4,0,3716,40,9.9,2,30.4,59,658,654,657,654,654,655,649,656,514,403,300,301,200,200,78,25
D250,S,600,34,MW,0300,4600,03,01,53584,22,202410060800,2,0,6,4,0,3383,40,9.91,1.98,37.55,58,657,654,657,654,654,655,650,656,512,403,295,301,215,200,89,24
D250,S,600,34,MW,0300,4600,03,01,53583,21,202410071950,2,0,6,4,0,3454,40,9.91,1.95,37.16,60,658,654,656,654,654,655,647,656,511,403,296,301,217,205,92,26
D250,S,600,34,MW,0300,4600,03,01,53584,21,202410072227,2,0,6,4,0,3165,40,9.93,2.08,36.12,60,657,655,657,654,653,655,648,656,513,403,301,301,213,198,88,26
D250,S,600,34,MW,0300,4600,03,01,53742,1,202411071148,2,0,6,4,0,4935,40,9.94,2.01,37.97,59,657,654,656,654,655,655,649,655,515,413,304,301,210,196,94,18
D250,S,600,34,MW,0300,4600,03,01,53742,2,202411071507,2,0,6,4,0,5150,40,9.91,2.03,38.65,59,657,655,656,654,653,655,648,656,520,415,312,301,201,197,97,20
D250,S,600,34,MW,0300,4600,03,01,53790,1,202411072242,2,0,6,4,0,5476,40,9.95,2.04,40.58,59,656,654,655,654,653,655,650,656,523,408,326,301,226,203,91,19
D250,S,600,34,MW,0300,4600,03,01,53790,2,202411080346,2,0,6,4,0,5365,40,9.95,2.08,37.51,59,657,655,657,654,654,655,649,656,517,403,304,301,209,192,95,16
D250,S,600,34,MW,0300,4600,03,01,53791,1,202411080716,2,0,6,4,0,5368,40,9.95,2.02,37.42,59,657,655,656,654,654,655,648,656,520,406,312,301,197,197,95,16
D250,S,600,34,MW,0300,4600,03,01,53791,2,202411081109,2,0,6,4,0,5500,40,9.98,2.04,37.36,59,656,655,656,654,654,655,649,656,520,406,311,301,198,200,96,16
D250,S,600,34,MW,0300,4600,03,01,53789,1,202411081501,2,0,6,4,0,4155,40,9.98,2.06,38.32,59,656,655,656,654,654,655,649,656,520,405,310,301,209,199,101,18
D250,S,600,34,MW,0300,4600,03,01,52410,222,202411210950,2,0,6,4,0,2545,40,9.94,2.02,37.06,59,657,655,656,654,654,655,649,656,511,404,299,301,212,197,86,16
D250,S,600,34,MW,0300,4600,03,01,53903,1,202411250217,2,0,6,4,0,5094,40,9.91,2.01,38.22,59,655,655,656,655,654,655,643,656,495,404,293,301,212,194,82,13
D250,S,600,34,MW,0300,4600,03,01,53903,2,202411250544,2,0,6,4,0,5260,40,9.99,2.02,37.57,60,657,655,656,654,654,655,651,656,517,407,312,301,207,190,81,13
D250,S,600,34,MW,0300,4600,03,01,53904,1,202412040225,2,0,6,4,0,5096,40,9.91,2.08,37.46,59,657,654,656,653,654,655,644,656,508,412,295,301,224,201,82,15
D250,S,600,34,MW,0300,4600,03,01,53905,11,202412040532,2,0,6,4,0,4046,40,9.93,2,38.28,59,657,655,656,654,656,655,650,656,514,421,303,301,209,191,83,14
D250,S,600,34,MW,0300,4600,03,01,53907,1,202412040852,2,0,6,4,0,5019,40,9.9,2,37.07,59,657,655,656,654,654,655,649,655,516,420,305,301,211,195,81,13
D250,S,600,34,MW,0300,4600,03,01,53908,1,202412041207,2,0,6,4,0,4188,40,9.94,2.05,37.65,59,657,655,656,654,653,655,648,656,515,416,304,301,198,189,81,14
D250,S,600,34,MW,0300,4600,03,01,53906,1,202412041652,2,0,6,4,0,4976,40,9.9,2,29.9,59,657,655,656,654,654,655,647,656,512,408,300,301,194,199,74,15
D250,S,600,34,MW,0300,4600,03,01,53905,12,202412042042,2,0,6,4,0,3771,40,9.95,2.04,38.05,59,657,655,657,654,653,655,651,656,514,407,301,301,204,190,82,15
D250,S,600,34,MW,0300,4600,03,01,53908,2,202412042326,2,0,6,4,0,4173,40,9.92,1.98,37.78,59,657,655,656,654,655,655,649,656,516,409,306,301,207,189,84,14
D250,S,600,34,MW,0300,4600,03,01,53904,2,202412050254,2,0,6,4,0,5050,40,9.9,2.01,37.85,59,656,655,656,654,654,655,650,655,516,406,304,301,207,193,82,14
D250,S,600,34,MW,0300,4600,03,01,53906,2,202412050608,2,0,6,4,0,5110,40,9.91,2,36.89,59,657,655,656,654,654,655,649,656,516,407,306,301,200,193,81,13
D250,S,600,34,MW,0300,4600,03,01,53907,2,202412051026,2,0,6,4,0,5168,40,10,1.7,27.9,59,657,655,656,654,654,655,646,656,513,402,301,301,194,198,69,13
