ã¶íËédólî‘çÜ_é˘óvâ∆ÉRÅ[Éh,ã¶íËédólî‘çÜ_ïiéÌÉRÅ[Éh,ã¶íËédólî‘çÜ_ç|éÌÉRÅ[Éh,ã¶íËédólî‘çÜ_í≤éøÉRÅ[Éh,ã¶íËédólî‘çÜ_édè„ÉRÅ[Éh,ã¶íËédólî‘çÜ_åˆèÃî¬å˙,ã¶íËédólî‘çÜ_åˆèÃî¬ïù,ã¶íËédólî‘çÜ_òAî‘,ã¶íËédólî‘çÜ_â¸í˘î‘çÜ,ÉRÉCÉãî‘çÜ,ÉRÉCÉãï™äÑî‘çÜ,çÏã∆îNåéì˙éûï™,çHíˆÉRÅ[Éh_çÏã∆ÉRÅ[Éh,çHíˆÉRÅ[Éh_ÉâÉCÉìÉRÅ[Éh1,çHíˆÉRÅ[Éh_ÉâÉCÉìÉRÅ[Éh2,çHíˆÉRÅ[Éh_èàóùéÌï ,ëOñ èoÇµãÊï™,çÏã∆å„ÉRÉCÉãí∑Ç≥,îMèàóù_ë¨ìx,îMèàóù_í£óÕì¸ë§,îMèàóù_í£óÕíÜâõ,îMèàóù_í£óÕèoë§,îMèàóù_H2ó¨ó ,îMèàóù_òFâ∑1,îMèàóù_òFâ∑2,îMèàóù_òFâ∑3,îMèàóù_òFâ∑4,îMèàóù_òFâ∑5,îMèàóù_òFâ∑6,îMèàóù_òFâ∑7,îMèàóù_òFâ∑8,îMèàóù_òFâ∑9,îMèàóù_òFâ∑10,îMèàóù_òFâ∑11,îMèàóù_òFâ∑12,îMèàóù_òFâ∑13,îMèàóù_òFâ∑14,îMèàóù_òFâ∑15,îMèàóù_òFâ∑16
D250,S,600,34,MW,0300,4600,03,01,49379,1,202306301021,2,0,6,4,0,1,52.5,9.94,1.99,38.5,60,657,656,655,656,654,657,645,658,514,429,299,302,218,206,99,28
D250,S,600,34,MW,0300,4600,03,01,49379,2,202306301126,2,0,6,4,0,1,52.5,9.89,2,38.83,60,657,655,656,655,654,655,647,656,519,422,304,302,202,185,86,28
D250,S,600,34,MW,0300,4600,03,01,49379,3,202306301232,2,0,6,4,0,1,52.5,9.9,2.01,39.12,60,657,654,656,655,654,655,650,657,520,412,304,302,216,224,102,29
D250,S,600,34,MW,0300,4600,03,01,49379,4,202306301442,2,0,6,4,0,1,52.5,9.91,1.97,38.54,60,656,654,656,654,654,655,648,656,523,412,303,302,203,182,93,28
D250,S,600,34,MW,0300,4600,03,01,49366,1,202307101457,2,0,6,4,0,2468,52.5,10,2.07,38.56,58,657,654,657,654,653,655,647,657,518,404,293,302,208,201,106,27
D250,S,600,34,MW,0300,4600,03,01,49366,21,202307101718,2,0,6,4,0,2855,52.5,9.92,2.03,39.74,59,657,654,656,654,653,655,649,656,518,404,295,302,205,195,106,27
D250,S,600,34,MW,0300,4600,03,01,49366,221,202307101939,2,0,6,4,0,1534,52.5,9.93,2.04,39.17,59,658,654,657,654,654,655,644,657,517,404,295,302,206,199,106,28
D250,S,600,34,MW,0300,4600,03,01,49366,222,202307102103,2,0,6,4,0,1225,52.5,9.9,2.04,38.65,60,657,655,657,654,654,655,643,656,517,404,295,302,207,189,106,28
D250,S,600,34,MW,0300,4600,03,01,49367,1,202307111154,2,0,6,4,0,4418,52.5,9.99,2.02,38.21,58,657,654,657,654,654,655,652,657,521,404,295,302,217,206,103,28
D250,S,600,34,MW,0300,4600,03,01,49367,2,202307111433,2,0,6,4,0,4366,52.5,9.99,2,39.21,58,658,655,656,654,654,655,649,656,521,404,298,302,207,200,106,29
D250,S,600,34,MW,0300,4600,03,01,49122,221,202308291349,2,0,6,4,0,469,52.5,9.91,1.99,37.42,60,657,654,657,654,653,655,652,656,515,403,302,302,216,205,111,29
D250,S,600,34,MW,0300,4600,03,01,50965,1,202311112121,2,0,6,4,0,5050,52.5,10,2,28.8,60,657,654,657,654,653,655,653,656,513,403,296,302,215,213,84,18
