Angle [deg],DRValue [um]
9.575,0.44
9.6,0.522
9.625,0.581
9.65,0.621
9.675,0.649
9.7,0.653
9.725,0.637
9.75,0.601
9.775,0.546
9.8,0.48
9.825,0.414
9.85,0.35
9.875,0.28
9.9,0.21
9.925,0.165
9.95,0.137
9.975,0.117
10,0.117
10.025,0.125
10.05,0.143
10.075,0.17
10.1,0.2
10.125,0.222
10.15,0.248
10.175,0.268
10.2,0.282
10.225,0.287
10.25,0.279
10.275,0.267
10.3,0.241
10.325,0.211
10.35,0.181
10.375,0.14
10.4,0.102
10.425,0.066
10.45,0.026
10.475,-0.018
10.5,-0.052
10.525,-0.085
10.55,-0.121
10.575,-0.163
10.6,-0.205
10.625,-0.237
10.65,-0.283
10.675,-0.328
10.7,-0.374
10.725,-0.422
10.75,-0.464
10.775,-0.512
10.8,-0.554
10.825,-0.599
10.85,-0.631
10.875,-0.669
10.9,-0.705
10.925,-0.727
10.95,-0.749
10.975,-0.764
11,-0.78
11.025,-0.788
11.05,-0.788
11.075,-0.784
11.1,-0.776
11.125,-0.753
11.15,-0.737
11.175,-0.709
11.2,-0.687
11.225,-0.663
11.25,-0.637
11.275,-0.618
11.3,-0.61
11.325,-0.608
11.35,-0.62
11.375,-0.646
11.4,-0.682
11.425,-0.73
11.45,-0.783
11.475,-0.843
11.5,-0.911
11.525,-0.983
11.55,-1.033
11.575,-1.097
11.6,-1.144
11.625,-1.186
11.65,-1.206
11.675,-1.218
11.7,-1.214
11.725,-1.2
11.75,-1.169
11.775,-1.127
11.8,-1.065
11.825,-0.999
11.85,-0.915
11.875,-0.825
11.9,-0.726
11.925,-0.618
11.95,-0.524
11.975,-0.418
12,-0.318
12.025,-0.224
12.05,-0.149
12.075,-0.067
12.1,0.001
12.125,0.051
12.15,0.103
12.175,0.143
12.2,0.185
12.225,0.218
12.25,0.252
12.275,0.282
12.3,0.318
12.325,0.35
12.35,0.38
12.375,0.407
12.4,0.435
12.425,0.449
12.45,0.461
12.475,0.455
12.5,0.451
12.525,0.428
12.55,0.396
12.575,0.35
12.6,0.304
