Angle [deg],DRValue [um]
84.375,0.308
84.4,0.316
84.425,0.32
84.45,0.327
84.475,0.329
84.5,0.331
84.525,0.335
84.55,0.337
84.575,0.343
84.6,0.339
84.625,0.345
84.65,0.343
84.675,0.343
84.7,0.335
84.725,0.324
84.75,0.314
84.775,0.298
84.8,0.282
84.825,0.262
84.85,0.242
84.875,0.226
84.9,0.218
84.925,0.216
84.95,0.218
84.975,0.226
85,0.233
85.025,0.245
85.05,0.261
85.075,0.271
85.1,0.273
85.125,0.271
85.15,0.259
85.175,0.241
85.2,0.217
85.225,0.187
85.25,0.156
85.275,0.122
85.3,0.092
85.325,0.07
85.35,0.046
85.375,0.036
85.4,0.02
85.425,0.016
85.45,0.01
85.475,0.008
85.5,0.008
85.525,0.003
85.55,-0.003
85.575,-0.013
85.6,-0.031
85.625,-0.047
85.65,-0.057
85.675,-0.069
85.7,-0.077
85.725,-0.077
85.75,-0.073
85.775,-0.052
85.8,-0.018
85.825,0.028
85.85,0.076
85.875,0.126
85.9,0.188
85.925,0.24
85.95,0.28
85.975,0.312
86,0.33
86.025,0.341
86.05,0.341
86.075,0.335
86.1,0.321
86.125,0.313
86.15,0.301
86.175,0.303
86.2,0.309
86.225,0.327
86.25,0.349
86.275,0.382
86.3,0.422
86.325,0.472
86.35,0.518
86.375,0.562
86.4,0.606
86.425,0.644
86.45,0.676
86.475,0.708
86.5,0.736
86.525,0.757
86.55,0.779
86.575,0.803
86.6,0.829
86.625,0.849
86.65,0.875
86.675,0.891
86.7,0.913
86.725,0.933
86.75,0.947
86.775,0.962
86.8,0.968
86.825,0.974
86.85,0.97
86.875,0.968
86.9,0.96
86.925,0.946
86.95,0.922
86.975,0.896
87,0.85
87.025,0.805
87.05,0.757
87.075,0.693
87.1,0.633
87.125,0.559
87.15,0.501
87.175,0.431
87.2,0.369
87.225,0.315
87.25,0.259
87.275,0.204
87.3,0.156
87.325,0.122
87.35,0.088
87.375,0.054
87.4,0.024
87.425,0.004
87.45,-0.02
87.475,-0.048
87.5,-0.067
87.525,-0.085
87.55,-0.097
87.575,-0.113
87.6,-0.133
87.625,-0.145
87.65,-0.155
87.675,-0.169
87.7,-0.187
87.725,-0.193
87.75,-0.21
87.775,-0.23
87.8,-0.258
87.825,-0.292
87.85,-0.332
87.875,-0.386
87.9,-0.442
87.925,-0.52
87.95,-0.584
87.975,-0.664
88,-0.741
88.025,-0.803
88.05,-0.859
88.075,-0.915
88.1,-0.947
88.125,-0.965
88.15,-0.969
88.175,-0.949
88.2,-0.919
88.225,-0.872
88.25,-0.81
88.275,-0.744
88.3,-0.662
88.325,-0.578
88.35,-0.51
88.375,-0.434
88.4,-0.372
88.425,-0.322
88.45,-0.286
88.475,-0.261
88.5,-0.251
88.525,-0.251
88.55,-0.271
88.575,-0.297
88.6,-0.331
88.625,-0.363
88.65,-0.397
88.675,-0.421
88.7,-0.438
88.725,-0.438
88.75,-0.43
88.775,-0.404
88.8,-0.37
88.825,-0.324
88.85,-0.278
88.875,-0.222
88.9,-0.168
88.925,-0.123
88.95,-0.081
88.975,-0.045
89,-0.011
89.025,0.007
89.05,0.019
89.075,0.027
89.1,0.037
89.125,0.043
89.15,0.046
89.175,0.052
89.2,0.066
89.225,0.076
89.25,0.098
89.275,0.118
89.3,0.13
89.325,0.15
89.35,0.166
89.375,0.178
89.4,0.187
89.425,0.193
89.45,0.187
89.475,0.183
89.5,0.169
89.525,0.149
89.55,0.135
89.575,0.103
89.6,0.081
89.625,0.056
89.65,0.032
89.675,0.008
89.7,-0.012
89.725,-0.022
89.75,-0.042
89.775,-0.052
89.8,-0.068
89.825,-0.08
89.85,-0.095
89.875,-0.101
89.9,-0.119
89.925,-0.137
89.95,-0.147
89.975,-0.171
90,-0.197
90.025,-0.211
90.05,-0.245
90.075,-0.274
90.1,-0.302
90.125,-0.326
90.15,-0.35
90.175,-0.382
90.2,-0.408
90.225,-0.434
90.25,-0.446
90.275,-0.467
90.3,-0.479
90.325,-0.479
90.35,-0.481
90.375,-0.475
90.4,-0.463
90.425,-0.453
90.45,-0.439
90.475,-0.433
90.5,-0.426
90.525,-0.418
90.55,-0.418
90.575,-0.42
90.6,-0.426
90.625,-0.438
90.65,-0.452
90.675,-0.466
90.7,-0.48
90.725,-0.485
90.75,-0.487
90.775,-0.491
90.8,-0.481
90.825,-0.457
90.85,-0.439
90.875,-0.409
90.9,-0.373
90.925,-0.335
90.95,-0.29
90.975,-0.248
91,-0.21
91.025,-0.182
91.05,-0.154
91.075,-0.132
91.1,-0.114
91.125,-0.106
91.15,-0.098
91.175,-0.097
91.2,-0.089
91.225,-0.075
91.25,-0.059
91.275,-0.029
91.3,0.007
91.325,0.047
91.35,0.099
91.375,0.162
91.4,0.23
91.425,0.304
91.45,0.376
91.475,0.456
91.5,0.528
91.525,0.604
91.55,0.656
91.575,0.726
91.6,0.771
91.625,0.809
91.65,0.843
91.675,0.867
91.7,0.895
91.725,0.909
91.75,0.917
91.775,0.917
91.8,0.918
91.825,0.91
91.85,0.9
91.875,0.88
91.9,0.866
91.925,0.842
91.95,0.816
91.975,0.79
92,0.758
92.025,0.725
92.05,0.695
92.075,0.659
92.1,0.625
92.125,0.597
92.15,0.563
92.175,0.529
92.2,0.497
92.225,0.466
92.25,0.44
92.275,0.414
92.3,0.396
92.325,0.378
92.35,0.366
92.375,0.364
92.4,0.362
92.425,0.362
92.45,0.371
92.475,0.375
92.5,0.385
92.525,0.389
92.55,0.395
92.575,0.393
92.6,0.389
92.625,0.381
92.65,0.366
92.675,0.336
92.7,0.308
92.725,0.276
92.75,0.24
92.775,0.198
92.8,0.156
92.825,0.11
92.85,0.057
92.875,-0.001
92.9,-0.057
92.925,-0.113
92.95,-0.171
92.975,-0.227
93,-0.297
93.025,-0.339
93.05,-0.392
93.075,-0.43
93.1,-0.452
93.125,-0.468
93.15,-0.468
93.175,-0.452
93.2,-0.422
93.225,-0.382
93.25,-0.332
93.275,-0.267
93.3,-0.199
93.325,-0.137
93.35,-0.067
93.375,-0.001
93.4,0.059
93.425,0.105
93.45,0.145
93.475,0.164
93.5,0.182
93.525,0.182
93.55,0.182
93.575,0.172
93.6,0.162
93.625,0.148
93.65,0.138
93.675,0.131
93.7,0.127
93.725,0.135
93.75,0.155
93.775,0.181
93.8,0.217
93.825,0.255
93.85,0.305
93.875,0.364
93.9,0.42
93.925,0.482
93.95,0.538
93.975,0.588
94,0.626
94.025,0.66
94.05,0.682
94.075,0.699
94.1,0.699
94.125,0.691
94.15,0.673
94.175,0.647
94.2,0.615
94.225,0.581
94.25,0.545
94.275,0.516
94.3,0.488
94.325,0.474
94.35,0.466
94.375,0.458
94.4,0.466
94.425,0.47
94.45,0.48
94.475,0.483
94.5,0.487
94.525,0.477
94.55,0.457
94.575,0.427
94.6,0.375
94.625,0.327
94.65,0.271
94.675,0.202
94.7,0.14
94.725,0.076
94.75,0.028
94.775,-0.014
94.8,-0.042
94.825,-0.064
94.85,-0.066
94.875,-0.061
94.9,-0.043
94.925,-0.027
94.95,-0.009
94.975,0.013
95,0.029
95.025,0.033
95.05,0.029
95.075,0.012
95.1,-0.032
95.125,-0.086
95.15,-0.154
95.175,-0.234
95.2,-0.324
95.225,-0.414
95.25,-0.515
95.275,-0.619
95.3,-0.723
95.325,-0.809
95.35,-0.895
95.375,-0.977
95.4,-1.057
95.425,-1.119
95.45,-1.172
95.475,-1.218
95.5,-1.26
95.525,-1.292
95.55,-1.316
95.575,-1.328
95.6,-1.34
95.625,-1.328
95.65,-1.315
95.675,-1.285
95.7,-1.237
95.725,-1.191
95.75,-1.125
95.775,-1.035
95.8,-0.941
95.825,-0.845
95.85,-0.734
95.875,-0.624
95.9,-0.522
95.925,-0.426
95.95,-0.364
95.975,-0.308
96,-0.284
96.025,-0.285
96.05,-0.305
96.075,-0.343
96.1,-0.407
96.125,-0.463
96.15,-0.533
96.175,-0.609
96.2,-0.673
96.225,-0.716
96.25,-0.74
96.275,-0.75
96.3,-0.738
96.325,-0.698
96.35,-0.646
96.375,-0.578
96.4,-0.489
96.425,-0.405
96.45,-0.311
96.475,-0.217
96.5,-0.123
96.525,-0.041
96.55,0.047
96.575,0.131
96.6,0.22
96.625,0.288
96.65,0.354
96.675,0.428
96.7,0.49
96.725,0.548
96.75,0.584
96.775,0.63
96.8,0.653
96.825,0.677
96.85,0.679
96.875,0.687
96.9,0.677
96.925,0.671
96.95,0.653
96.975,0.632
97,0.604
97.025,0.576
97.05,0.544
97.075,0.51
97.1,0.474
97.125,0.454
97.15,0.426
97.175,0.403
97.2,0.385
97.225,0.375
97.25,0.375
97.275,0.367
97.3,0.371
97.325,0.381
97.35,0.392
97.375,0.394
97.4,0.414
97.425,0.418
97.45,0.426
97.475,0.432
97.5,0.432
97.525,0.423
97.55,0.413
97.575,0.387
97.6,0.355
97.625,0.317
97.65,0.267
97.675,0.207
97.7,0.141
97.725,0.084
97.75,0.018
97.775,-0.056
97.8,-0.138
97.825,-0.206
97.85,-0.282
97.875,-0.36
97.9,-0.427
97.925,-0.495
97.95,-0.551
97.975,-0.607
98,-0.647
98.025,-0.687
98.05,-0.701
98.075,-0.712
98.1,-0.71
98.125,-0.698
98.15,-0.67
98.175,-0.62
98.2,-0.568
98.225,-0.498
98.25,-0.428
98.275,-0.349
98.3,-0.271
98.325,-0.187
98.35,-0.125
98.375,-0.057
98.4,-0.009
98.425,0.043
98.45,0.08
98.475,0.112
98.5,0.138
98.525,0.156
98.55,0.182
98.575,0.196
98.6,0.222
98.625,0.249
98.65,0.277
98.675,0.309
98.7,0.339
98.725,0.379
98.75,0.409
98.775,0.449
98.8,0.482
98.825,0.514
98.85,0.552
98.875,0.588
98.9,0.628
98.925,0.654
98.95,0.692
98.975,0.724
99,0.759
99.025,0.793
99.05,0.825
99.075,0.867
99.1,0.905
99.125,0.945
99.15,0.983
99.175,1.02
99.2,1.048
99.225,1.076
99.25,1.096
99.275,1.104
99.3,1.106
99.325,1.094
99.35,1.071
99.375,1.039
99.4,0.991
99.425,0.943
99.45,0.885
99.475,0.821
99.5,0.755
99.525,0.69
99.55,0.636
99.575,0.586
99.6,0.542
99.625,0.512
99.65,0.494
99.675,0.474
99.7,0.467
99.725,0.459
99.75,0.467
99.775,0.473
99.8,0.485
99.825,0.495
99.85,0.505
99.875,0.512
99.9,0.512
99.925,0.512
99.95,0.5
99.975,0.472
100,0.436
100.025,0.402
100.05,0.347
100.075,0.273
100.1,0.199
100.125,0.119
100.15,0.027
100.175,-0.063
100.2,-0.173
100.225,-0.256
100.25,-0.344
100.275,-0.428
100.3,-0.494
100.325,-0.554
100.35,-0.594
100.375,-0.614
100.4,-0.633
100.425,-0.629
100.45,-0.615
100.475,-0.595
100.5,-0.565
100.525,-0.537
100.55,-0.501
100.575,-0.466
100.6,-0.424
100.625,-0.384
100.65,-0.35
100.675,-0.298
100.7,-0.26
100.725,-0.216
100.75,-0.173
100.775,-0.129
100.8,-0.085
100.825,-0.055
100.85,-0.027
100.875,-0.007
100.9,0.003
100.925,-0.008
100.95,-0.02
100.975,-0.04
101,-0.072
101.025,-0.104
101.05,-0.138
101.075,-0.16
101.1,-0.181
101.125,-0.189
101.15,-0.177
101.175,-0.157
101.2,-0.119
101.225,-0.069
101.25,-0.02
101.275,0.036
101.3,0.104
101.325,0.148
101.35,0.196
101.375,0.238
101.4,0.272
101.425,0.287
101.45,0.311
101.475,0.321
101.5,0.331
101.525,0.339
101.55,0.351
101.575,0.367
101.6,0.388
101.625,0.41
101.65,0.432
101.675,0.462
101.7,0.488
101.725,0.504
101.75,0.516
101.775,0.521
101.8,0.519
101.825,0.501
101.85,0.483
101.875,0.443
101.9,0.409
101.925,0.371
101.95,0.332
101.975,0.294
102,0.266
102.025,0.246
102.05,0.224
102.075,0.206
102.1,0.191
102.125,0.179
102.15,0.173
102.175,0.163
102.2,0.155
102.225,0.153
102.25,0.145
102.275,0.13
102.3,0.122
102.325,0.11
102.35,0.098
102.375,0.086
102.4,0.058
102.425,0.04
102.45,0.009
102.475,-0.011
102.5,-0.039
102.525,-0.063
102.55,-0.093
102.575,-0.119
102.6,-0.152
102.625,-0.176
102.65,-0.196
102.675,-0.224
102.7,-0.244
102.725,-0.278
102.75,-0.312
102.775,-0.349
102.8,-0.393
102.825,-0.439
102.85,-0.497
102.875,-0.555
102.9,-0.619
102.925,-0.665
102.95,-0.718
102.975,-0.77
103,-0.804
103.025,-0.826
103.05,-0.832
103.075,-0.814
103.1,-0.787
103.125,-0.739
103.15,-0.687
103.175,-0.621
103.2,-0.555
103.225,-0.497
103.25,-0.433
103.275,-0.384
103.3,-0.34
103.325,-0.304
103.35,-0.282
103.375,-0.272
103.4,-0.266
103.425,-0.272
103.45,-0.275
103.475,-0.293
103.5,-0.301
103.525,-0.317
103.55,-0.329
103.575,-0.335
103.6,-0.344
103.625,-0.352
103.65,-0.354
103.675,-0.354
103.7,-0.346
103.725,-0.346
103.75,-0.334
103.775,-0.319
103.8,-0.297
103.825,-0.263
103.85,-0.235
103.875,-0.193
103.9,-0.149
103.925,-0.094
103.95,-0.04
103.975,0.028
104,0.098
104.025,0.168
104.05,0.242
104.075,0.334
104.1,0.421
104.125,0.505
104.15,0.595
104.175,0.689
104.2,0.781
104.225,0.849
104.25,0.904
104.275,0.946
104.3,0.974
104.325,0.968
104.35,0.95
104.375,0.912
104.4,0.864
104.425,0.811
104.45,0.745
104.475,0.687
104.5,0.621
104.525,0.575
104.55,0.539
104.575,0.502
104.6,0.482
104.625,0.47
104.65,0.47
104.675,0.478
104.7,0.492
104.725,0.519
104.75,0.543
104.775,0.565
104.8,0.583
104.825,0.599
104.85,0.611
104.875,0.609
104.9,0.61
104.925,0.6
104.95,0.578
104.975,0.552
105,0.516
105.025,0.478
105.05,0.433
105.075,0.381
105.1,0.331
105.125,0.281
105.15,0.231
105.175,0.185
105.2,0.139
105.225,0.1
105.25,0.064
105.275,0.03
105.3,-0.002
105.325,-0.012
105.35,-0.028
105.375,-0.047
105.4,-0.055
105.425,-0.057
105.45,-0.051
105.475,-0.047
105.5,-0.035
105.525,-0.008
105.55,0.014
105.575,0.046
105.6,0.082
105.625,0.12
105.65,0.154
105.675,0.192
105.7,0.233
105.725,0.265
105.75,0.297
105.775,0.331
105.8,0.359
105.825,0.381
105.85,0.396
105.875,0.414
105.9,0.424
105.925,0.434
105.95,0.442
105.975,0.444
106,0.437
106.025,0.433
106.05,0.423
106.075,0.405
106.1,0.381
106.125,0.361
106.15,0.33
106.175,0.308
106.2,0.274
106.225,0.254
106.25,0.24
106.275,0.236
106.3,0.24
106.325,0.257
106.35,0.299
106.375,0.351
106.4,0.407
106.425,0.479
106.45,0.551
106.475,0.634
106.5,0.722
106.525,0.792
106.55,0.868
106.575,0.938
106.6,1.008
106.625,1.063
106.65,1.103
106.675,1.139
106.7,1.151
106.725,1.151
106.75,1.141
106.775,1.102
106.8,1.056
106.825,0.996
106.85,0.918
106.875,0.83
106.9,0.73
106.925,0.644
106.95,0.547
106.975,0.453
107,0.365
107.025,0.303
107.05,0.253
107.075,0.215
107.1,0.2
107.125,0.206
107.15,0.224
107.175,0.266
107.2,0.306
107.225,0.346
107.25,0.387
107.275,0.423
107.3,0.453
107.325,0.467
107.35,0.465
107.375,0.443
107.4,0.4
107.425,0.338
107.45,0.26
107.475,0.162
107.5,0.052
107.525,-0.076
107.55,-0.191
107.575,-0.321
107.6,-0.433
107.625,-0.539
107.65,-0.637
107.675,-0.725
107.7,-0.794
107.725,-0.844
107.75,-0.884
107.775,-0.912
107.8,-0.924
107.825,-0.922
107.85,-0.915
107.875,-0.901
107.9,-0.885
107.925,-0.857
107.95,-0.835
107.975,-0.817
108,-0.799
108.025,-0.786
108.05,-0.766
108.075,-0.744
108.1,-0.712
108.125,-0.682
108.15,-0.642
108.175,-0.597
108.2,-0.533
108.225,-0.465
108.25,-0.395
108.275,-0.311
108.3,-0.241
108.325,-0.162
108.35,-0.112
108.375,-0.066
108.4,-0.038
108.425,-0.028
108.45,-0.036
108.475,-0.059
108.5,-0.105
108.525,-0.149
108.55,-0.211
108.575,-0.275
108.6,-0.349
108.625,-0.414
108.65,-0.47
108.675,-0.514
108.7,-0.536
108.725,-0.544
108.75,-0.532
108.775,-0.509
108.8,-0.469
108.825,-0.413
108.85,-0.353
108.875,-0.283
108.9,-0.209
108.925,-0.146
108.95,-0.072
108.975,0.002
109,0.076
109.025,0.146
109.05,0.212
109.075,0.285
109.1,0.355
109.125,0.425
109.15,0.479
109.175,0.535
109.2,0.585
109.225,0.622
109.25,0.656
109.275,0.686
109.3,0.7
109.325,0.702
109.35,0.7
109.375,0.693
109.4,0.673
109.425,0.657
109.45,0.637
109.475,0.611
109.5,0.587
109.525,0.558
109.55,0.536
109.575,0.52
109.6,0.502
109.625,0.484
109.65,0.47
109.675,0.449
109.7,0.431
109.725,0.409
109.75,0.389
109.775,0.373
109.8,0.337
109.825,0.308
109.85,0.272
109.875,0.238
109.9,0.202
109.925,0.164
109.95,0.128
109.975,0.091
110,0.061
110.025,0.035
110.05,0.005
110.075,-0.021
110.1,-0.044
110.125,-0.066
110.15,-0.09
110.175,-0.124
110.2,-0.164
110.225,-0.206
110.25,-0.255
110.275,-0.307
110.3,-0.379
110.325,-0.445
110.35,-0.503
110.375,-0.573
110.4,-0.63
110.425,-0.68
110.45,-0.726
110.475,-0.768
110.5,-0.798
110.525,-0.818
110.55,-0.831
110.575,-0.831
110.6,-0.819
110.625,-0.797
110.65,-0.761
110.675,-0.717
110.7,-0.664
110.725,-0.612
110.75,-0.56
110.775,-0.502
110.8,-0.458
110.825,-0.428
110.85,-0.393
110.875,-0.367
110.9,-0.347
110.925,-0.333
110.95,-0.317
110.975,-0.301
111,-0.278
111.025,-0.246
111.05,-0.218
111.075,-0.168
111.1,-0.116
111.125,-0.059
111.15,-0.001
111.175,0.063
111.2,0.117
111.225,0.173
111.25,0.223
111.275,0.27
111.3,0.324
111.325,0.358
111.35,0.4
111.375,0.444
111.4,0.494
111.425,0.537
111.45,0.585
111.475,0.647
111.5,0.701
111.525,0.771
111.55,0.825
111.575,0.888
111.6,0.944
111.625,0.99
111.65,1.024
111.675,1.052
111.7,1.064
111.725,1.055
111.75,1.027
111.775,0.985
111.8,0.925
111.825,0.859
111.85,0.778
111.875,0.69
111.9,0.606
111.925,0.522
111.95,0.468
111.975,0.414
112,0.389
112.025,0.373
112.05,0.377
112.075,0.399
112.1,0.431
112.125,0.457
112.15,0.504
112.175,0.54
112.2,0.576
112.225,0.596
112.25,0.614
112.275,0.616
112.3,0.605
112.325,0.579
112.35,0.551
112.375,0.511
112.4,0.463
112.425,0.428
112.45,0.378
112.475,0.336
112.5,0.292
112.525,0.252
112.55,0.222
112.575,0.183
112.6,0.153
112.625,0.119
112.65,0.097
112.675,0.071
112.7,0.053
112.725,0.032
112.75,0.014
112.775,0.006
112.8,-0.008
112.825,-0.014
112.85,-0.025
112.875,-0.031
112.9,-0.037
112.925,-0.035
112.95,-0.041
112.975,-0.043
113,-0.042
113.025,-0.042
113.05,-0.036
113.075,-0.026
113.1,-0.014
113.125,0.008
113.15,0.029
113.175,0.051
113.2,0.083
113.225,0.119
113.25,0.157
113.275,0.204
113.3,0.246
113.325,0.286
113.35,0.328
113.375,0.374
113.4,0.412
113.425,0.451
113.45,0.483
113.475,0.507
113.5,0.525
113.525,0.543
113.55,0.549
113.575,0.548
113.6,0.542
113.625,0.532
113.65,0.52
113.675,0.506
113.7,0.495
113.725,0.483
113.75,0.477
113.775,0.473
113.8,0.477
113.825,0.483
113.85,0.5
113.875,0.522
113.9,0.556
113.925,0.582
113.95,0.62
113.975,0.652
114,0.683
114.025,0.707
114.05,0.731
114.075,0.751
114.1,0.771
114.125,0.78
114.15,0.794
114.175,0.796
114.2,0.798
114.225,0.8
114.25,0.796
114.275,0.785
114.3,0.767
114.325,0.747
114.35,0.723
114.375,0.685
114.4,0.644
114.425,0.598
114.45,0.55
114.475,0.498
114.5,0.442
114.525,0.406
114.55,0.365
114.575,0.331
114.6,0.309
114.625,0.293
114.65,0.297
114.675,0.3
114.7,0.314
114.725,0.33
114.75,0.342
114.775,0.344
114.8,0.338
114.825,0.309
114.85,0.271
114.875,0.215
114.9,0.137
114.925,0.063
114.95,-0.033
114.975,-0.142
115,-0.256
115.025,-0.364
115.05,-0.46
115.075,-0.554
115.1,-0.637
115.125,-0.707
115.15,-0.749
115.175,-0.795
115.2,-0.817
115.225,-0.831
115.25,-0.834
115.275,-0.836
115.3,-0.828
115.325,-0.826
115.35,-0.824
115.375,-0.819
115.4,-0.819
115.425,-0.825
115.45,-0.833
115.475,-0.849
115.5,-0.867
115.525,-0.894
115.55,-0.912
115.575,-0.932
115.6,-0.95
115.625,-0.952
115.65,-0.951
115.675,-0.933
115.7,-0.911
115.725,-0.875
115.75,-0.817
115.775,-0.761
115.8,-0.684
115.825,-0.618
115.85,-0.542
115.875,-0.464
115.9,-0.404
115.925,-0.349
115.95,-0.315
115.975,-0.281
116,-0.261
116.025,-0.255
116.05,-0.261
116.075,-0.272
116.1,-0.278
116.125,-0.29
116.15,-0.292
116.175,-0.29
116.2,-0.283
116.225,-0.255
116.25,-0.223
116.275,-0.173
116.3,-0.115
116.325,-0.05
116.35,0.016
116.375,0.088
116.4,0.156
116.425,0.21
116.45,0.26
116.475,0.315
116.5,0.357
116.525,0.391
116.55,0.425
116.575,0.457
116.6,0.49
116.625,0.524
116.65,0.546
116.675,0.58
116.7,0.602
116.725,0.628
116.75,0.647
116.775,0.665
116.8,0.683
116.825,0.697
116.85,0.705
116.875,0.718
116.9,0.72
116.925,0.732
116.95,0.738
116.975,0.732
117,0.746
117.025,0.733
117.05,0.731
117.075,0.721
117.1,0.711
117.125,0.689
117.15,0.672
117.175,0.648
117.2,0.624
117.225,0.596
117.25,0.57
117.275,0.533
117.3,0.497
117.325,0.477
117.35,0.445
117.375,0.413
117.4,0.383
117.425,0.352
117.45,0.31
117.475,0.276
117.5,0.238
117.525,0.2
117.55,0.155
117.575,0.111
117.6,0.075
117.625,0.043
117.65,0.015
117.675,-0.009
117.7,-0.022
117.725,-0.03
117.75,-0.02
117.775,-0.01
117.8,0.018
117.825,0.051
117.85,0.079
117.875,0.125
117.9,0.165
117.925,0.197
117.95,0.22
117.975,0.244
118,0.256
118.025,0.258
118.05,0.252
118.075,0.24
118.1,0.225
118.125,0.217
118.15,0.199
118.175,0.189
118.2,0.181
118.225,0.186
118.25,0.194
118.275,0.214
118.3,0.238
118.325,0.272
118.35,0.311
118.375,0.367
118.4,0.421
118.425,0.467
118.45,0.521
118.475,0.577
118.5,0.622
118.525,0.662
118.55,0.698
118.575,0.72
118.6,0.736
118.625,0.735
118.65,0.727
118.675,0.721
118.7,0.707
118.725,0.697
118.75,0.686
118.775,0.682
118.8,0.688
118.825,0.7
118.85,0.718
118.875,0.742
118.9,0.771
118.925,0.797
118.95,0.829
118.975,0.857
119,0.887
119.025,0.918
119.05,0.94
119.075,0.964
119.1,0.986
119.125,1.002
119.15,1.005
119.175,1.021
119.2,1.019
119.225,1.003
119.25,0.993
119.275,0.964
119.3,0.924
119.325,0.884
119.35,0.836
119.375,0.786
119.4,0.722
119.425,0.671
119.45,0.619
119.475,0.579
119.5,0.547
119.525,0.533
119.55,0.532
119.575,0.534
119.6,0.558
119.625,0.58
119.65,0.618
119.675,0.651
119.7,0.685
119.725,0.711
119.75,0.737
119.775,0.757
119.8,0.765
119.825,0.764
119.85,0.738
119.875,0.702
119.9,0.656
119.925,0.596
119.95,0.529
119.975,0.447
120,0.355
120.025,0.269
120.05,0.191
120.075,0.1
120.1,0.026
120.125,-0.032
120.15,-0.08
120.175,-0.122
120.2,-0.143
120.225,-0.155
120.25,-0.147
120.275,-0.141
120.3,-0.123
120.325,-0.108
120.35,-0.092
120.375,-0.07
120.4,-0.072
120.425,-0.062
120.45,-0.068
120.475,-0.073
120.5,-0.083
120.525,-0.083
120.55,-0.087
120.575,-0.079
120.6,-0.056
120.625,-0.028
120.65,0.012
120.675,0.058
120.7,0.116
120.725,0.177
120.75,0.227
120.775,0.275
120.8,0.321
120.825,0.353
120.85,0.372
120.875,0.376
120.9,0.376
120.925,0.358
120.95,0.34
120.975,0.31
121,0.281
121.025,0.243
121.05,0.213
121.075,0.179
121.1,0.155
121.125,0.13
121.15,0.12
121.175,0.11
121.2,0.108
121.225,0.11
121.25,0.121
121.275,0.135
121.3,0.155
121.325,0.167
121.35,0.191
121.375,0.204
121.4,0.226
121.425,0.242
121.45,0.264
121.475,0.286
121.5,0.313
121.525,0.339
121.55,0.371
121.575,0.407
121.6,0.453
121.625,0.492
121.65,0.536
121.675,0.58
121.7,0.612
121.725,0.636
121.75,0.66
121.775,0.673
121.8,0.667
121.825,0.657
121.85,0.629
121.875,0.603
121.9,0.57
121.925,0.536
121.95,0.508
121.975,0.49
122,0.476
122.025,0.461
122.05,0.459
122.075,0.461
122.1,0.467
122.125,0.467
122.15,0.46
122.175,0.448
122.2,0.428
122.225,0.402
122.25,0.362
122.275,0.313
122.3,0.257
122.325,0.195
122.35,0.137
122.375,0.073
122.4,0.014
122.425,-0.038
122.45,-0.08
122.475,-0.124
122.5,-0.16
122.525,-0.187
122.55,-0.211
122.575,-0.239
122.6,-0.265
122.625,-0.287
122.65,-0.305
122.675,-0.328
122.7,-0.34
122.725,-0.348
122.75,-0.358
122.775,-0.362
122.8,-0.369
122.825,-0.369
122.85,-0.373
122.875,-0.379
122.9,-0.391
122.925,-0.396
122.95,-0.41
122.975,-0.428
123,-0.448
123.025,-0.466
123.05,-0.485
123.075,-0.499
123.1,-0.509
123.125,-0.511
123.15,-0.509
123.175,-0.5
123.2,-0.488
123.225,-0.476
123.25,-0.458
123.275,-0.444
123.3,-0.429
123.325,-0.421
123.35,-0.411
123.375,-0.399
123.4,-0.393
123.425,-0.386
123.45,-0.374
123.475,-0.354
123.5,-0.33
123.525,-0.298
123.55,-0.267
123.575,-0.219
123.6,-0.171
123.625,-0.121
123.65,-0.061
123.675,-0.014
123.7,0.04
123.725,0.082
123.75,0.118
123.775,0.152
123.8,0.181
123.825,0.193
123.85,0.199
123.875,0.207
123.9,0.211
123.925,0.212
123.95,0.218
123.975,0.228
124,0.248
124.025,0.268
124.05,0.301
124.075,0.339
124.1,0.383
124.125,0.421
124.15,0.467
124.175,0.511
124.2,0.556
124.225,0.588
124.25,0.61
124.275,0.622
124.3,0.63
124.325,0.625
124.35,0.615
124.375,0.593
124.4,0.571
124.425,0.559
124.45,0.54
124.475,0.526
124.5,0.526
124.525,0.534
124.55,0.548
124.575,0.575
124.6,0.609
124.625,0.651
124.65,0.697
124.675,0.745
124.7,0.79
124.725,0.828
124.75,0.856
124.775,0.876
124.8,0.882
124.825,0.877
124.85,0.853
124.875,0.811
124.9,0.763
124.925,0.709
124.95,0.642
124.975,0.566
125,0.474
125.025,0.398
125.05,0.322
125.075,0.241
125.1,0.171
125.125,0.105
125.15,0.059
125.175,0.011
125.2,-0.024
125.225,-0.05
125.25,-0.072
125.275,-0.082
125.3,-0.092
125.325,-0.089
125.35,-0.083
125.375,-0.071
125.4,-0.051
125.425,-0.019
125.45,0.018
125.475,0.058
125.5,0.112
125.525,0.166
125.55,0.208
125.575,0.259
125.6,0.301
125.625,0.337
125.65,0.357
125.675,0.375
125.7,0.374
125.725,0.376
125.75,0.366
125.775,0.348
125.8,0.334
125.825,0.317
125.85,0.307
125.875,0.301
125.9,0.307
125.925,0.327
125.95,0.352
125.975,0.392
126,0.44
126.025,0.484
126.05,0.536
126.075,0.587
126.1,0.639
126.125,0.675
126.15,0.703
126.175,0.727
126.2,0.744
126.225,0.76
126.25,0.77
126.275,0.774
126.3,0.782
126.325,0.789
126.35,0.807
